province,province_name,model,test_norm_mae,test_norm_rmse,test_norm_r2,val_norm_mae,best_epoch,final_gap,mamba_mae,mamba_rmse,mamba_r2,delta_mae_vs_mamba,delta_rmse_vs_mamba,delta_r2_vs_mamba,start,end,n_hours,coverage_ratio,max_gap_h,aqi_mean,aqi_std,aqi_cv,aqi_iqr,aqi_skew,aqi_kurtosis,diff_abs_mean,diff_abs_p90,diff_abs_p95,spike_rate,spike_threshold,direction_change_rate,autocorr_1h,autocorr_12h,autocorr_24h,autocorr_168h,hist_entropy
dak_lak,Đắk Lắk,transformer,0.31435447931289673,0.4938441054080929,0.8897452354431152,0.15773743391036987,32,0.013106680608854511,0.2909688949584961,0.466547416524957,0.9015967845916748,0.023385584354400635,0.02729668888313591,-0.01185154914855957,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,63.82359905288082,24.691336932876315,0.38686845147072313,32.0,1.1216121454916905,0.6854990277004926,1.833004342676668,4.0,10.0,0.05288082083662194,10.0,0.15064298836497245,0.9882772371336469,0.824249661796939,0.8344034349807783,0.6059622102646005,2.9151743613505183
dien_bien,Điện Biên,lstm,0.22942063212394714,0.3826058082777298,0.9287435412406921,0.09316616505384445,18,0.007565597033469356,0.2255968451499939,0.4731025637821049,0.8910488486289978,0.003823786973953247,-0.09049675550437514,0.037694692611694336,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,85.68153112858604,48.2831088036938,0.5635182771329473,85.0,0.43417423150491014,-1.170998832756126,1.1630477875153444,3.0,3.000000762939453,0.0055248618784530384,10.0,0.11057401812688822,0.999226798964179,0.9686985852715565,0.936016251267452,0.8036157925428726,3.3581121289811118
dien_bien,Điện Biên,mamba,0.2255968451499939,0.4731025637821049,0.8910488486289978,0.08977537602186203,19,0.003799786008333139,0.2255968451499939,0.4731025637821049,0.8910488486289978,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,85.68153112858604,48.2831088036938,0.5635182771329473,85.0,0.43417423150491014,-1.170998832756126,1.1630477875153444,3.0,3.000000762939453,0.0055248618784530384,10.0,0.11057401812688822,0.999226798964179,0.9686985852715565,0.936016251267452,0.8036157925428726,3.3581121289811118
dien_bien,Điện Biên,transformer,0.14271250367164612,0.20397893516332063,0.9797468781471252,0.08729194104671478,42,0.0015915369306241205,0.2255968451499939,0.4731025637821049,0.8910488486289978,-0.08288434147834778,-0.26912362861878425,0.08869802951812744,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,85.68153112858604,48.2831088036938,0.5635182771329473,85.0,0.43417423150491014,-1.170998832756126,1.1630477875153444,3.0,3.000000762939453,0.0055248618784530384,10.0,0.11057401812688822,0.999226798964179,0.9686985852715565,0.936016251267452,0.8036157925428726,3.3581121289811118
dong_nai,Đồng Nai,lstm,0.19865292310714722,0.3369222667635026,0.9181062579154968,0.23240900039672852,11,0.08883555887620025,0.19338226318359375,0.3271453401789013,0.9227901697158813,0.005270659923553467,0.009776926584601331,-0.0046839118003845215,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,86.71231254932913,29.86682690424698,0.3444358249268956,42.0,0.9646824602871161,-0.174783845246115,1.5455981050138177,3.0,8.0,0.04143646408839779,10.0,0.1680236861584012,0.9917964790143567,0.8773428079243792,0.8345250179026232,0.5469695820777223,3.0617355643402386
dong_nai,Đồng Nai,mamba,0.19338226318359375,0.3271453401789013,0.9227901697158813,0.21172407269477844,12,0.0700349265020444,0.19338226318359375,0.3271453401789013,0.9227901697158813,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,86.71231254932913,29.86682690424698,0.3444358249268956,42.0,0.9646824602871161,-0.174783845246115,1.5455981050138177,3.0,8.0,0.04143646408839779,10.0,0.1680236861584012,0.9917964790143567,0.8773428079243792,0.8345250179026232,0.5469695820777223,3.0617355643402386
dong_nai,Đồng Nai,transformer,0.213608518242836,0.3352490290023943,0.9189176559448242,0.24325764179229736,11,0.06305602507744779,0.19338226318359375,0.3271453401789013,0.9227901697158813,0.02022625505924225,0.008103688823492994,-0.003872513771057129,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,86.71231254932913,29.86682690424698,0.3444358249268956,42.0,0.9646824602871161,-0.174783845246115,1.5455981050138177,3.0,8.0,0.04143646408839779,10.0,0.1680236861584012,0.9917964790143567,0.8773428079243792,0.8345250179026232,0.5469695820777223,3.0617355643402386
dong_thap,Đồng Tháp,lstm,0.1942301094532013,0.28868439147821656,0.922994077205658,0.23910751938819885,11,0.07724477317328968,0.17056255042552948,0.2737585907289243,0.9307510852813721,0.023667559027671814,0.014925800749292284,-0.007757008075714111,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,91.80662983425414,28.854572592608026,0.31429726420304827,41.0,0.8383532640090555,-0.24737469882944918,1.2546387682589815,3.0,5.0,0.026835043409629045,10.0,0.15817901234567902,0.9943099085271129,0.8614285057410573,0.7686964336756285,0.4869616535426308,3.3259493890461664
dong_thap,Đồng Tháp,mamba,0.17056255042552948,0.2737585907289243,0.9307510852813721,0.18099845945835114,15,0.03956750510326933,0.17056255042552948,0.2737585907289243,0.9307510852813721,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,91.80662983425414,28.854572592608026,0.31429726420304827,41.0,0.8383532640090555,-0.24737469882944918,1.2546387682589815,3.0,5.0,0.026835043409629045,10.0,0.15817901234567902,0.9943099085271129,0.8614285057410573,0.7686964336756285,0.4869616535426308,3.3259493890461664
dong_thap,Đồng Tháp,transformer,0.20835764706134796,0.30279441976356436,0.9152824878692627,0.22275406122207642,15,0.0386105506953434,0.17056255042552948,0.2737585907289243,0.9307510852813721,0.03779509663581848,0.02903582903464008,-0.015468597412109375,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,91.80662983425414,28.854572592608026,0.31429726420304827,41.0,0.8383532640090555,-0.24737469882944918,1.2546387682589815,3.0,5.0,0.026835043409629045,10.0,0.15817901234567902,0.9943099085271129,0.8614285057410573,0.7686964336756285,0.4869616535426308,3.3259493890461664
gia_lai,Gia Lai,lstm,0.2875196039676666,0.5180524847549275,0.7762482762336731,0.08718837052583694,16,0.0011859022880018853,0.2722112536430359,0.516544245116386,0.7775492072105408,0.015308350324630737,0.0015082396385415198,-0.0013009309768676758,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,70.4704025678025,24.382539067136964,0.3459968749813443,24.0,1.9860335937674365,4.805691923827737,2.8855112755764534,10.0,18.0,0.10497237569060773,10.0,0.15278688524590164,0.9641806110770161,0.31664100223142116,0.7147404435852134,0.28136027659190227,2.544557494746777
gia_lai,Gia Lai,mamba,0.2722112536430359,0.516544245116386,0.7775492072105408,0.08910245448350906,14,-0.005025278493277522,0.2722112536430359,0.516544245116386,0.7775492072105408,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,70.4704025678025,24.382539067136964,0.3459968749813443,24.0,1.9860335937674365,4.805691923827737,2.8855112755764534,10.0,18.0,0.10497237569060773,10.0,0.15278688524590164,0.9641806110770161,0.31664100223142116,0.7147404435852134,0.28136027659190227,2.544557494746777
gia_lai,Gia Lai,transformer,0.27457064390182495,0.5211076840392161,0.7736013531684875,0.08980803191661835,29,-0.013171182744113417,0.2722112536430359,0.516544245116386,0.7775492072105408,0.0023593902587890625,0.004563438922830176,-0.003947854042053223,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,70.4704025678025,24.382539067136964,0.3459968749813443,24.0,1.9860335937674365,4.805691923827737,2.8855112755764534,10.0,18.0,0.10497237569060773,10.0,0.15278688524590164,0.9641806110770161,0.31664100223142116,0.7147404435852134,0.28136027659190227,2.544557494746777
ha_noi,TP. Hà Nội,lstm,0.2804358899593353,0.41833805988055567,0.8411538600921631,0.1469605565071106,7,0.04101858619145582,0.27015063166618347,0.43584380698277175,0.8275815844535828,0.010285258293151855,-0.017505747102216085,0.013572275638580322,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,128.58168903522446,37.2075016519682,0.28936858685823724,57.75,0.5301956025859509,-0.10701691041671113,3.5866561329416546,11.0,19.0,0.10378847671665352,11.0,0.11995696611081226,0.9797938805879502,0.5849263508143228,0.6370909759067767,0.30316608191335104,2.956622625654561
ha_noi,TP. Hà Nội,mamba,0.27015063166618347,0.43584380698277175,0.8275815844535828,0.1362551599740982,28,0.024136943161387134,0.27015063166618347,0.43584380698277175,0.8275815844535828,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,128.58168903522446,37.2075016519682,0.28936858685823724,57.75,0.5301956025859509,-0.10701691041671113,3.5866561329416546,11.0,19.0,0.10378847671665352,11.0,0.11995696611081226,0.9797938805879502,0.5849263508143228,0.6370909759067767,0.30316608191335104,2.956622625654561
